record_num,id,precursor,title,authors,year,journal,doi
337,CN-02554354,NR,"Effect of nicotinamide riboside supplementation in dilated cardiomyopathy patients to CERP, Chromadex Inc. USA","CTRI/2023/04/051385,",2023,https://trialsearch.who.int/Trial2.aspx?TrialID=CTRI/2023/04/051385,
343,CN-01494715,NR,"Pharmacokinetics, Pharmacodynamics and Safety of Basis in Acute Kidney Injury Study","NCT03176628,",2017,https://clinicaltrials.gov/show/NCT03176628,
349,CN-01796136,NR,Nicotinamide Riboside for Treating Elevated Systolic Blood Pressure and Arterial Stiffness in Middle-aged and Older Adults,"NCT03821623,",2019,https://clinicaltrials.gov/ct2/show/NCT03821623,
353,CN-02307420,NR,The Effect of Exercise and Nicotinamide Riboside Muscle Health and Insulin Resistance in Survivors of Childhood Cancer,"NCT05023993,",2021,https://clinicaltrials.gov/study/NCT05023993,
357,CN-02945443,both,NAD Augmentation to Prevent or Reverse Alzheimer's Disease in People With Down Syndrome,"NCT07278492,",2025,https://clinicaltrials.gov/study/NCT07278492,
375,CN-01966040,NR,Nicotinamide Riboside Supplementation for Treating Arterial Stiffness and Elevated Systolic Blood Pressure in Patients With Moderate to Severe CKD,"NCT04040959,",2019,https://clinicaltrials.gov/ct2/show/NCT04040959,
394,CN-01260124,NR,The Effects of Nitrate-Rich Supplementation on Neuromuscular Efficiency during Heavy Resistance Exercise,"Flanagan, SD; Looney, DP; Miller, MJ...",2016,Journal of the American College of Nutrition,10.1080/07315724.2015.1081572
400,CN-01992471,NR,Nicotinamide Riboside as an Enhancer of Exercise Therapy in Hypertensive Older Adults (The NEET Trial),"NCT04112043,",2019,https://clinicaltrials.gov/ct2/show/NCT04112043,
409,CN-02476448,NR,Slow Age: interventions to Slow Aging in Humans,"NCT05593939,",2022,https://clinicaltrials.gov/show/NCT05593939,
434,CN-02408801,NMN,"A Randomized, Double Blind, Placebo-Controlled Study to Evaluate the Effect of Nicotinamide Mononucleotide (NMN) As an Adjuvant to Standard of Care (SOC) On Fatigue Associated with COVID-19 Infection","CTRI/2022/02/040399,",2022,https://trialsearch.who.int/Trial2.aspx?TrialID=CTRI/2022/02/040399,
435,CN-02848008,NR,"Qualia NAD+® Increases NAD+ In Human Participants: a Randomized, Double-Blind, Placebo-Controlled Study","Blomquist, SA; Kelly, G; Adaes, S...",2025,medRxiv: the preprint server for health sciences,10.1101/2025.03.19.25324259
445,CN-02159110,unclear,"Safety of NR-INF-02, an Extract of Curcuma Longa Containing Turmerosaccharides, in Healthy Volunteers: a Randomized, Open-label Clinical Trial","Selvi, M; Mohan Mv, R; Bethapudi, B...",2022,Alternative therapies in health and medicine,
467,CN-02558395,NMN,Parallel-group comparative study to evaluate the effect of high-dose nicotinamide mononucleotide (NMN) on aging,"JPRN-jRCTs031220373,",2022,https://trialsearch.who.int/Trial2.aspx?TrialID=JPRN-jRCTs031220373,
471,CN-02511816,NMN,"Effects of nicotinamide mononucleotide on older patients with diabetes and impaired physical performance: a prospective, placebo-controlled, double-blind study","Akasaka, H; Nakagami, H; Sugimoto, K...",2023,Geriatrics &amp; gerontology international,10.1111/ggi.14513
476,CN-02748260,NMN,An exploratory clinical trial on the effects of nicotinamide mononucleotide (NMN) intake and exercise on skeletal muscle mass and function in older adults,"JPRN-UMIN000054187,",2024,https://trialsearch.who.int/Trial2.aspx?TrialID=JPRN-UMIN000054187,
477,CN-02527085,NMN,"Impact of nicotinamide mononucleotide (NMN) for older diabetic patients with impaired physical performance: a prospective, placebo-controlled, doubleblind study","Akasaka, H; Nakagami, H; Sugimoto, K...",2022,European geriatric medicine,10.1007/s41999-022-00711-8
488,CN-02634873,NMN,"To Investigate the change in oral bioavailability of Nicotinamide Mononucleotide (NMN, 500mg) when 5mg Bioperine is added to NMN 500mg in normal healthy volunteers","CTRI/2023/11/059982,",2023,https://trialsearch.who.int/Trial2.aspx?TrialID=CTRI/2023/11/059982,
523,CN-01937237,NR,Impact of Acute Dietary Nitrate Supplementation during Exercise in Hypertensive Women,"Caldwell, JT; Sutterfield, SL; Post, HK...",2019,Medicine and science in sports and exercise,10.1249/MSS.0000000000001857
